Fabrication,Composition,M/C Dia,Gauge,Color,GSM,Stitch Length,Yarn Count
S/J,100%Cotton,30,20,Wash,230 ,3.45 ,16/1
Pique,100%Cotton,26,24,White,280 ,2.85/2.75 ,20/1
1X1 Rib,100%Cotton,34,18,Medium,290 ,2.90 ,20/1
Pique,100%Cotton,26,24,Medium,280 ,2.90/2.80 ,20/1
S/J,100%Cotton,32,24,Medium,200 ,3.00 ,20/1
S/J,100%Cotton,30,24,White,190 ,3.04 ,20/1
S/J,100%Cotton,30,24,White,190 ,3.04 ,20/1
S/J,"75% Cotton ,25%Recyle Cotton",30,24,White,200 ,3.05 ,20/1
S/J,"99%Cotton,1% Viscose ",30,24,Melange,200 ,3.05 ,20/1
S/J,"99%Cotton,1% Viscose ",30,24,Wash,200 ,3.05 ,20/1
S/J,100%Cotton,28,24,White,200 ,3.05 ,20/1
S/J,100% Cotton ,28,24,White,200 ,3.05 ,20/1
S/J,100% Cotton ,28,24,White,200 ,3.05 ,20/1
S/J,100%Cotton,28,24,Average,190 ,3.06 ,20/1
S/J,100%Cotton,28,24,Average,190 ,3.06 ,20/1
S/J,100%Cotton,28,24,Average,190 ,3.06 ,20/1
S/J,100%Cotton,26,24,Light,190 ,3.06 ,20/1
S/J,100%Cotton,26,24,Light,190 ,3.06 ,20/1
S/J,100%Cotton,26,24,Light,190 ,3.06 ,20/1
S/J,100%Cotton,26,24,Light,190 ,3.06 ,20/1
S/J,100%Cotton,26,24,Light,190 ,3.06 ,20/1
S/J,100%Cotton,26,24,Light,190 ,3.06 ,20/1
S/J,100%Cotton,26,24,Light,190 ,3.06 ,20/1
S/J,100%Cotton,26,24,Light,190 ,3.06 ,20/1
S/J,100%Cotton,26,24,Light,190 ,3.06 ,20/1
S/J,"75% Cotton ,25%Recyle Cotton",30,24,Medium,200 ,3.10 ,20/1
S/J,"75% Cotton ,25%Recyle Cotton",30,24,Medium,200 ,3.10 ,20/1
S/J,100%Cotton,28,24,White,190 ,3.10 ,20/1
S/J,100%Cotton,28,24,Medium,200 ,3.10 ,20/1
S/J,100%Cotton,28,24,Medium,190 ,3.10 ,20/1
S/J,100%Cotton,28,24,Medium,190 ,3.10 ,20/1
S/J,100%Cotton,26,24,Melange,200 ,3.10 ,20/1
S/J,100%Cotton,26,24,Melange,200 ,3.10 ,20/1
S/J,100%Cotton,26,24,Dark,190 ,3.10 ,20/1
S/J,100% Cotton ,28,24,Medium,200 ,3.10 ,20/1
S/J,100% Cotton ,28,24,Medium,200 ,3.10 ,20/1
S/J,100% Cotton ,28,24,Medium,200 ,3.10 ,20/1
S/J,100% Cotton ,28,24,Medium,200 ,3.10 ,20/1
S/J,100%Cotton,26,24,Average,190 ,3.15 ,20/1
S/J,100%Cotton,26,24,Average,190 ,3.15 ,20/1
S/J,100%Cotton,28,24,Medium,190 ,3.15 ,20/1
S/J,100%Cotton,28,24,Medium,190 ,3.15 ,20/1
S/J,100%Cotton,28,24,Medium,190 ,3.15 ,20/1
S/J,100% Cotton ,28,24,White,190 ,3.15 ,20/1
S/J,100%Cotton,30,24,White,180 ,3.20 ,20/1
S/J,100%Cotton,28,24,Medium,190 ,3.20 ,20/1
S/J,100%Cotton,28,24,Black,200 ,3.20 ,20/1
S/J,100%Cotton,36,24,Wash,250 ,2.50 ,24/1
Pique,100%Cotton,26,24,Average,220 ,2.55/2.65 ,24/1
Pique,100%Cotton ,26,24,White,250 ,2.60 ,24/1
Pique,100% Cotton ,28,24,White,210 ,2.60/2.50 ,24/1
Pique,100% Cotton ,28,24,White,210 ,2.60/2.50 ,24/1
Pique,100% Cotton ,28,24,White,210 ,2.60/2.50 ,24/1
Pique,100% Cotton ,28,24,White,210 ,2.60/2.50 ,24/1
Pique,100% Cotton ,28,24,White,210 ,2.60/2.50 ,24/1
Pique,100% Cotton ,28,24,White,210 ,2.60/2.50 ,24/1
Pique,100%Cotton,26,24,Melange,210 ,2.60/2.70 ,24/1
Pique,100%Cotton,26,24,Melange,210 ,2.60/2.70 ,24/1
Pique,"60%Cotton, 40% Polyester ",26,24,Melange,250 ,2.65 ,24/1
Pique,100%Cotton ,26,24,Medium,250 ,2.65 ,24/1
Pique,100%Cotton ,26,24,Medium,250 ,2.65 ,24/1
Pique,100%Cotton ,26,24,Medium,250 ,2.65 ,24/1
Pique,100%Cotton,28,24,White,210 ,2.65/2.55 ,24/1
Pique,100%Cotton,28,24,White,210 ,2.65/2.55 ,24/1
Pique,100%Cotton,26,24,Melange,210 ,2.65/2.55 ,24/1
Pique,100%Cotton,28,24,White,210 ,2.65/2.55 ,24/1
Pique,100%Cotton,28,24,White,210 ,2.65/2.55 ,24/1
Pique,100%Cotton,28,24,Melange,210 ,2.65/2.55 ,24/1
Pique,100%Cotton,26,24,Melange,210 ,2.65/2.75 ,24/1
Pique,100%Cotton,26,24,Melange,210 ,2.65/2.75 ,24/1
1X1 Rib,100%Cotton,34,18,White,240 ,2.70 ,24/1
1X1 Rib,100%Cotton,36,18,White,240 ,2.70 ,24/1
1X1 Rib,100%Cotton,38,18,White,240 ,2.70 ,24/1
Pique,100%Cotton,26,24,Melange,210 ,2.70/2.60 ,24/1
Pique,100%Cotton,26,24,Melange,210 ,2.70/2.60 ,24/1
Pique,100%Cotton,26,24,Melange,210 ,2.70/2.60 ,24/1
Pique,100%Cotton,26,24,Melange,210 ,2.70/2.60 ,24/1
